,spot,vol,bs,pv
86,5.0,0.7270967741935483,2.0690767480651227,1.2816300706324861
87,5.0,0.7574193548387096,2.1961837673478755,1.300390264949509
88,5.0,0.7877419354838708,2.3207843448404883,1.4436216800654451
89,5.0,0.8180645161290321,2.442668440723113,1.4386380609318254
90,5.0,0.8483870967741935,2.561658631169774,1.5017394787513967
91,5.0,0.8787096774193548,2.6776064593598448,1.5050053625598074
92,5.0,0.909032258064516,2.7903893572317635,1.5635809877689233
93,5.0,0.9393548387096773,2.8999080206206234,1.558800641733534
94,5.0,0.9696774193548385,3.0060841460413315,1.6058038109064203
95,5.0,1.0,3.108858457272637,1.5871197257073553
96,6.0,0.06,5.887401354831463e-07,0.0
97,6.0,0.09032258064516129,0.0005762995487257425,0.00031909765672043184
98,6.0,0.12064516129032257,0.00888296676713804,0.009586527880172974
99,6.0,0.15096774193548385,0.03796595234029765,0.03170437101330737
100,6.0,0.18129032258064515,0.09396075708908846,0.08711869464282986
101,6.0,0.21161290322580645,0.17560096847658602,0.17396371712154118
102,6.0,0.24193548387096772,0.2787090275012283,0.2915268697376235
103,6.0,0.272258064516129,0.3987709411205822,0.36457781710026493
104,6.0,0.3025806451612903,0.5318293811128765,0.4896565033062451
105,6.0,0.3329032258064516,0.6746524909068181,0.5881863402908846
106,6.0,0.3632258064516129,0.8246636019504647,0.7307614040473827
107,6.0,0.39354838709677414,0.9798173238510695,0.8263703982130626
108,6.0,0.42387096774193544,1.1384825023773446,0.9674539346068974
109,6.0,0.45419354838709675,1.2993470576088724,0.9985081632716154
110,6.0,0.484516129032258,1.4613448097876502,1.1413458656038429
111,6.0,0.5148387096774193,1.6236004260812658,1.1766482798294773
112,6.0,0.5451612903225806,1.785388271536,1.3128005562643859
113,6.0,0.5754838709677419,1.9461016190834424,1.4096407446565238
114,6.0,0.6058064516129031,2.1052294907975133,1.478325134016864
115,6.0,0.6361290322580644,2.26233910752942,1.5160084310875446
116,6.0,0.6664516129032259,2.4170624694501273,1.578383535377145
117,6.0,0.6967741935483871,2.5690859933552512,1.683074565011464
118,6.0,0.7270967741935483,2.7181424250625934,1.686126932984464
119,6.0,0.7574193548387096,2.8640044558040127,1.6868852662866476
120,6.0,0.7877419354838708,3.006479623029515,1.7821719360998547
121,6.0,0.8180645161290321,3.1454061854065265,1.8777751688505901
122,6.0,0.8483870967741935,3.2806497411548547,1.9289233274865771
123,6.0,0.8787096774193548,3.4121004168150098,1.863123294708851
124,6.0,0.909032258064516,3.53967049617775,1.9355963031827108
125,6.0,0.9393548387096773,3.663292390691331,1.9456726360129695
126,6.0,0.9696774193548385,3.7829168762435814,2.083245421528512
127,6.0,1.0,3.898511538946349,1.9901161614815566
128,7.0,0.06,0.00010122474338370184,2.4709607874771535e-05
129,7.0,0.09032258064516129,0.007277976298927069,0.0071434872688909135
130,7.0,0.12064516129032257,0.0439462261727544,0.04512555696637229
131,7.0,0.15096774193548385,0.11966493199608141,0.11580130577587483
132,7.0,0.18129032258064515,0.2292148218075698,0.23413864249203448
133,7.0,0.21161290322580645,0.3642655081597419,0.3210450601700052
134,7.0,0.24193548387096772,0.5176737001649621,0.48332609667245513
135,7.0,0.272258064516129,0.6840631559774268,0.6531776782204359
136,7.0,0.3025806451612903,0.8595042670470052,0.7988536505101309
137,7.0,0.3329032258064516,1.041114109995304,0.9133147475381593
